Date,AIB.IR,BIRG.IR,IRES.IR,CRH.IR,HRN.IR
2015-01-01,3.5,5.2,1.8,22.0,1.1
2015-01-02,3.5315,5.2774,1.8075,22.3271,1.1045
2015-01-05,3.5237,5.3887,1.7951,22.7277,1.104
2015-01-06,3.5648,5.4472,1.7826,22.7147,1.1076
2015-01-07,3.6614,5.3468,1.7533,22.646,1.1102
2015-01-08,3.6472,5.3302,1.7969,22.7186,1.0891
2015-01-09,3.633,5.3307,1.7976,22.3309,1.0845
2015-01-12,3.7351,5.3841,1.7922,22.2727,1.1067
2015-01-13,3.7865,5.4441,1.7695,22.5305,1.0976
2015-01-14,3.756,5.3797,1.8417,22.7563,1.0934
2015-01-15,3.7929,5.388,1.8146,22.6705,1.086
2015-01-16,3.7628,5.4294,1.8041,22.7523,1.085
2015-01-19,3.7328,5.5599,1.8148,22.4759,1.0771
2015-01-20,3.7496,5.6252,1.8302,22.7221,1.0839
2015-01-21,3.6239,5.699,1.8548,22.7026,1.0867
2015-01-22,3.5146,5.708,1.9015,22.6151,1.0974
2015-01-23,3.4805,5.841,1.9152,22.4986,1.083
2015-01-26,3.4192,5.8813,1.8875,22.4843,1.0785
2015-01-27,3.4389,5.7995,1.881,22.3392,1.0756
2015-01-28,3.3847,5.934,1.8894,22.5686,1.0819
2015-01-29,3.3012,6.003,1.9438,22.4409,1.0712
2015-01-30,3.3873,5.9606,1.9065,22.9884,1.0837
2015-02-02,3.3746,5.915,1.9385,23.505,1.1
2015-02-03,3.3794,5.9449,1.9437,23.1956,1.0864
2015-02-04,3.2953,5.9912,1.9666,23.2274,1.0798
2015-02-05,3.2645,6.0117,1.9641,23.0063,1.0727
2015-02-06,3.2716,6.0436,1.9415,22.9,1.1084
2015-02-09,3.206,6.2131,1.962,23.6005,1.1025
2015-02-10,3.228,6.3233,1.9801,23.4983,1.126
2015-02-11,3.1946,6.3443,2.0071,23.6337,1.1081
2015-02-12,3.1789,6.4434,2.007,23.8346,1.0945
2015-02-13,3.1459,6.3357,1.9907,23.4816,1.0851
2015-02-16,3.2494,6.3783,1.948,23.1855,1.0737
2015-02-17,3.2494,6.5685,1.9704,22.7701,1.0702
2015-02-18,3.1896,6.5464,1.9823,22.4724,1.0608
2015-02-19,3.2366,6.4568,1.9561,21.5112,1.0499
2015-02-20,3.1677,6.3891,1.9418,21.6951,1.0654
2015-02-23,3.1801,6.2764,1.9295,22.3758,1.0819
2015-02-24,3.071,6.1969,1.8902,22.4329,1.095
2015-02-25,2.9997,6.1606,1.8691,21.9597,1.1024
2015-02-26,3.0109,6.02,1.84,21.7533,1.1038
2015-02-27,3.0508,6.0227,1.8298,21.6093,1.097
2015-03-02,3.0608,6.1129,1.8113,21.2837,1.084
2015-03-03,3.0552,6.0232,1.7708,21.5672,1.0891
2015-03-04,3.0397,6.1743,1.8207,21.8383,1.0731
2015-03-05,2.9612,6.2272,1.8526,21.4637,1.0598
2015-03-06,2.9243,6.3335,1.8329,21.7058,1.0753
2015-03-09,2.9012,6.2665,1.8401,22.2137,1.1012
2015-03-10,2.956,6.3555,1.851,22.8597,1.1068
2015-03-11,2.9746,6.2431,1.8819,23.8572,1.1223
2015-03-12,2.8829,6.3353,1.8608,23.5395,1.119
2015-03-13,2.9,6.3544,1.8893,24.552,1.1003
2015-03-16,2.881,6.4133,1.8752,24.4284,1.1089
2015-03-17,2.8473,6.2911,1.8408,24.2173,1.117
2015-03-18,2.8787,6.2001,1.8596,24.3447,1.1181
